Time: 20211018-153337, Setting: CUB-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 67.93% +- 0.67% 
Time: 20211018-161705, Setting: CUB-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 68.92% +- 0.64% 
Time: 20211018-162355, Setting: CUB-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 60.52% +- 0.75% 
Time: 20211018-172722, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 83.58% +- 0.53% 
Time: 20211018-211719, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 83.55% +- 0.52% 
Time: 20211019-092422, Setting: miniImagenet-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 46.88% +- 0.72% 
Time: 20211019-144209, Setting: miniImagenet-novel-Conv4-baseline++-aug 5shot 5way_test, Acc: 600 Test Acc = 64.66% +- 0.65% 
Time: 20211019-195209, Setting: miniImagenet-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 60.32% +- 0.67% 
Time: 20211020-161510, Setting: miniImagenet-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 63.38% +- 0.69% 
Time: 20211020-174651, Setting: miniImagenet-novel-Conv4-baseline++-aug 5shot 5way_test, Acc: 600 Test Acc = 65.99% +- 0.64% 
Time: 20211020-200634, Setting: miniImagenet-novel-Conv4-baseline++-aug 5shot 5way_test, Acc: 600 Test Acc = 65.65% +- 0.66% 
Time: 20211025-161607, Setting: miniImagenet-novel-Conv4-baseline-aug 1shot 5way_test, Acc: 600 Test Acc = 31.40% +- 0.68% 
Time: 20211025-170052, Setting: miniImagenet-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 60.64% +- 0.69% 
Time: 20211025-210318, Setting: miniImagenet-novel-Conv4Drop-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 65.92% +- 0.63% 
Time: 20211025-213541, Setting: miniImagenet-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 63.35% +- 0.68% 
